A:1B X:00 Y:06 S:FD P:nvUbdIzc   $C059: 8C 06 C0  STY $C006 = #$06
A:1B X:00 Y:06 S:FD P:nvUbdIzc   $C05C: 0A        ASL
A:36 X:00 Y:06 S:FD P:nvUbdIzc   $C05D: A8        TAY
A:36 X:00 Y:36 S:FD P:nvUbdIzc   $C05E: B9 40 80  LDA $8040,Y @ $8076 = #$42
A:42 X:00 Y:36 S:FD P:nvUbdIzc   $C061: 85 3A     STA $3A = #$22
A:42 X:00 Y:36 S:FD P:nvUbdIzc   $C063: B9 41 80  LDA $8041,Y @ $8077 = #$B4
A:B4 X:00 Y:36 S:FD P:NvUbdIzc   $C066: 85 3B     STA $3B = #$9B
A:B4 X:00 Y:36 S:FD P:NvUbdIzc   $C068: 6C 3A 00  JMP ($003A) = $B442
A:B4 X:00 Y:36 S:FD P:NvUbdIzc   $B442: AD 7E 06  LDA $067E = #$00
A:00 X:00 Y:36 S:FD P:nvUbdIZc   $B445: D0 FA     BNE $B441
A:00 X:00 Y:36 S:FD P:nvUbdIZc   $B447: A9 00     LDA #$00
A:00 X:00 Y:36 S:FD P:nvUbdIZc   $B449: 8D FD 04  STA $04FD = #$00
A:00 X:00 Y:36 S:FD P:nvUbdIZc   $B44C: AD 00 04  LDA $0400 = #$FF
A:FF X:00 Y:36 S:FD P:NvUbdIzc   $B44F: C9 FF     CMP #$FF
A:FF X:00 Y:36 S:FD P:nvUbdIZC   $B451: D0 EE     BNE $B441
A:FF X:00 Y:36 S:FD P:nvUbdIZC   $B453: AD F1 04  LDA $04F1 = #$00
A:00 X:00 Y:36 S:FD P:nvUbdIZC   $B456: D0 E9     BNE $B441
A:00 X:00 Y:36 S:FD P:nvUbdIZC   $B458: A5 F8     LDA $F8 = #$00
A:00 X:00 Y:36 S:FD P:nvUbdIZC   $B45A: 29 C0     AND #$C0
A:00 X:00 Y:36 S:FD P:nvUbdIZC   $B45C: C9 80     CMP #$80
A:00 X:00 Y:36 S:FD P:NvUbdIzc   $B45E: D0 E1     BNE $B441
A:00 X:00 Y:36 S:FD P:NvUbdIzc   $B441: 60        RTS (from $FA68) ----------------------------
A:00 X:00 Y:36 S:FF P:NvUbdIzc $F49B: AD 02 20  LDA $2002 = #$12
A:12 X:00 Y:36 S:FF P:nvUbdIzc $F49E: 20 6D FA  JSR $FA6D
A:12 X:00 Y:36 S:FD P:nvUbdIzc   $FA6D: AD F1 04  LDA $04F1 = #$00
A:00 X:00 Y:36 S:FD P:nvUbdIZc   $FA70: 20 EB C0  JSR $C0EB
A:00 X:00 Y:36 S:FB P:nvUbdIZc     $C0EB: 0A        ASL
A:00 X:00 Y:36 S:FB P:nvUbdIZc     $C0EC: A8        TAY
A:00 X:00 Y:00 S:FB P:nvUbdIZc     $C0ED: 68        PLA
A:72 X:00 Y:00 S:FC P:nvUbdIzc    $C0EE: 85 3A     STA $3A = #$42
A:72 X:00 Y:00 S:FC P:nvUbdIzc    $C0F0: 68        PLA
